IATA,Terminal
PGS,Tauranga Aer Club
PSS,TSSKB-Progress
RBD,Trans World Express
REC,Trans Reco
RMS,Tas Aviation
ROT,Tarom
ROU,Transportes Aereos I.R. Crusoe
RRT,Transportes Aereos Sierra
RRY,Tbilisi Aviation University
RTM,Trans Am Compania
SBJ,Trans Sahara Air
SEI,Transportes Aereos Sierra Madre
SRT,Trans Asian Airlines
URN,Turan Air
TIB,TRIP Linhas A
USB,Tusheti
UTM,TAPC Aviatrans Aircompany
UTN,Trans-Ulgii
UTT,Transarabian Transportation Services
VEN,Transaven
VIP,Tag Aviation UK
VNZ,Tbilaviamsheni
VRC,Taxi de Veracruz
XAR,Travel Express Aviation Services
XNR,Taxi Aero Del Norte
,Transports et Travaux A
DOD,USAF Air Mobility Operations Control Center
DOI,U.S. Department of the Interior
EXM,United Kingdom Civil Aviation Authority
GIH,Union des Transports Africains de Guinee
GKA,US Army Parachute Team
GWY,USA3000 Airlines
UAB,United Arabian Airlines
UAL,United Airlines
UAC,United Air Charters
UCS,United Carriers Systems
UEA,United Eagle Airlines
,United Feeder Service
CFU,United Kingdom Civil Aviation Authority
KRF,United Kingdom Royal VIP Flights
KRH,United Kingdom Royal VIP Flight
SDS,United Kingdom Civil Aviation Authority
TQF,United Kingdom Royal VIP Flights
CGX,United States Coast Guard Auxiliary
AGR,United States Department Of Agriculture
UAD,University Air Squadron
UAJ,University Air Squadron
UAA,University Air Squadron
UAH,University Air Squadron
HBU,Universal Avia
HLE,UK HEMS
JUS,USA Jet Airlines
LEA,Unijet
MSH,US Marshals Service
NDU,University of North Dakota
PNA,Universal Airlines
RAU,Uganda Royal Airways
SAU,United Aviation Services
SVR,Ural Airlines
TRB,Ukraine Transavia
UAF,United Arab Emirates Air Force
UAI,Union Africaine des Transports
UCC,Uganda Air Cargo
UCH,US Airports Air Charter
UCO,Ucoaviacion
UES,Ues-Avia Aircompany
UFS,UFS
UGA,Uganda Airlines
UGC,Urgemer Canarias
UHL,Ukrainian Helicopters
UHS,Ulyanovsk Higher Civil Aviation School
UJR,Universal Jet Rental de Mexico
UJT,Universal Jet Aviation
UKI,UK International Airlines
UKL,Ukraine Air Alliance
UKM,UM Airlines
UKN,Ukraine Air Enterprise
UKP,United Kingdom Home Office
UKS,Ukrainian Cargo Airways
ULT,Ultrair
UMS,Unitemp-M
UNC,Uni-Fly
UNF,Union Flights
UNJ,Universal Jet
UNS,Unsped Paket Servisi
UNU,Unifly Servizi Aerei
UPL,Ukrainian Pilot School
UPS,United Parcel Service
URV,Uraiavia
USA,US Airways
USC,US Check Airlines
USF,USAfrica Airways
USH,US Helicopter
USJ,US Jet
USX,US Express
UTA,UTair Aviation
UTG,UTAGE
UTR,Utair South Africa
UTS,Ukrainian State Air Traffic Service Enterprise
UTU,Urartu-Air
UVA,Universal Airways
UVG,Universal Airlines
UVM,Uvavemex
AIO,United States Air Force
UVN,United Aviation
UZB,Uzbekistan Airways
AUI,Ukraine International Airlines
WEC,Universal Airlines
,US Helicopter Corporation
VAU,V Australia Airlines
VBA,V Bird Airlines Netherlands
WIW,V-avia Airline
VBD,V-Berd-Avia
VAC,Vacationair
RDW,Valair AG (Helicoptere)
VLA,Valan International Cargo Charter
VLN,Valan Limited
EHR,Valfell-Verkflug
VLU,Valuair
VAA,Van Air Europe
VGC,Vanguardia en Aviacion en Colima
VGD,Vanguard Airlines
VFC,Vasco Air
VAG,Vega
WGA,Vega Air Company
WEL,Veles
VTX,Verataxis
BTP,Veritair Ltd
VAL,Voyageur Airways
GRV,Vernicos Aviation
HVN,Vietnam Airlines
KWA,Vozdushnaya Academy
MOV,VIM Airlines
MVY,VIM-Aviaservice
,VIA Rail Canada
ENV,Victoria Aviation
VCT,Viscount Air Service
SSI,Vision Airlines
FXF,VIP Air Charter
PAV,VIP Avia
PRX,VIP Avia
VAT,Visionair
,Viasa
VCA,VICA - Viacao Charter Aereos
VCM,Volare Air Charter Company
VOI,Volaris
VDA,Volga-Dnepr Airlines
VEA,Vega Airlines
VEC,Venescar Internacional
VEE,Victor Echo
VEI,Virgin Express Ireland
VRD,Virgin America
VES,Vieques Air Link
VEX,Virgin Express
VFT,VZ Flights
VGN,Virgin Nigeria Airways
VGV,Vologda State Air Enterprise
VHA,VH-Air Industrie
VHM,VHM Schul-und-Charterflug
VIB,Vibroair Flugservice
VIC,VIP Servicios Aereos Ejecutivos
VIE,VIP Empresarial
VIF,VIF Luftahrt
VIG,Vega Aviation
VIH,Vichi
VIK,Viking Airlines
VIN,Vinair - Helicoptereos
VIR,Virgin Atlantic Airways
VJM,Viajes Ejecutivos Mexicanos
VJT,Vistajet
VVM,Viva Macau
VLE,Volare Airlines
VLG,Vueling Airlines
VLK,Vladivostok Air
VLO,Varig Log
VLT,Vertical-T Air Company
VMA,Vero Monmouth Airlines
VNK,Vipport Joint Stock Company
VOA,Viaggio Air
VOG,Voyager Airlines
VOZ,Virgin Australia
VBI,Virgin Blue
VPA,VIP Air
VPB,Veteran Air
VPV,VIP-Avia
VRA,Vertair
VRE,Volare Airlines
VRL,Voar Lda
VRN,VRG Linhas Aereas
VSB,Vickers Limited
VSG,Visig Operaciones Aereas
VSN,Vision Airways Corporation
VSO,Voronezh Aircraft Manufacturing Society
VSP,VASP
VSS,Virign Islands Seaplane Shuttle
VTC,Vuelos Especializados Tollocan
VTH,Vuelos Corporativos de Tehuacan
VTK,Vostok Airlines
VTL,Victor Tagle Larrain
VTV,Vointeh
VUR,Vuelos Internos Privados VIP
VUS,Vuela Bus
VZL,Vzlyet
VLM,VLM Airlines
WCY,Viking Express
WEV,Victoria International Airways
WLG,Volga Aviaexpress
WDL,WDL Aviation
WRR,WRA Inc
XWS,WSI Corporation
CGG,Walmart Aviation
WAS,Walsten Air Services
GOT,Walter I Linkoping
WPT,Wapiti Aviation
WAV,Warbelow's Air Ventures
ATX,Warwickshire Aerocentre Ltd.
WSG,Wasaya Airways
,Wayraper
WTC,Weasua Air Transport Company
WEB,WebJet Linhas A
TDB,Welch Aviation
WLC,Welcome Air
BLW,Wermlandsflyg AB
WCB,West Africa Airlines
WTF,West African Air Transport
WSF,West African Airlines
WAC,West African Cargo Airlines
WLX,West Air Luxembourg
SWN,West Air Sweden
WCW,West Caribbean Airways
WCR,West Caribbean Costa Rica
,West Coast Air
WCG,West Coast Airlines
WCA,West Coast Airways
TEE,West Freugh DTEO
WEW,West Wind Aviation
WJA,WestJet
WAA,Westair Aviation
WSC,Westair Cargo Airlines
PCM,Westair Industries
BLK,Westcoast Energy
WST,Western Air
NPC,Western Air Couriers
WAE,Western Air Express
WAL,Western Airlines
WAL,Western Arctic Air
WTV,Western Aviators
WES,Western Express Air Lines
KMR,Western Pacific Airlines
WPA,Western Pacific Airservice
WSL,Westflight Aviation
WSA,Westgates Airlines
WHE,Westland Helicopters
WTP,Westpoint Air
WWD,Westward Airways
WHT,White
WEA,White Eagle Aviation
WRA,White River Air Services
WWL,Whyalla Airlines
WIF,Widerøe
WIG,Wiggins Airways
WHS,Wiking Helikopter Service
WFO,Wilbur's Flight Operations
WLS,Williams Air
WGP,Williams Grand Prix Engineering
WDA,Wimbi Dira Airways
WNA,Winair
JET,Wind Jet
WSI,Wind Spirit Air
QGA,Windrose Air
WIA,Windward Islands Airways International
WON,Wings Air
WAT,Wings Air Transport
WAW,Wings Airways
WOL,Wings Aviation
WEX,Wings Express
WAK,Wings of Alaska
WLB,Wings of Lebanon Aviation
WIN,Winlink
WAG,Wisconsin Air National Guard
WSM,Wisman Aviation
WZZ,Wizz Air
WVL,Wizz Air Hungary
WNR,Wondair on Demand Aviation
CWY,Woodgate Executive Air Charter
WOA,World Airways
XWW,World Weatherwatch
WWM,World Wing Aviation
,Worldspan
CSW,Worldwide Air Charter Systems
WWS,Worldwide Aviation Services
WWI,Worldwide Jet Charter
WRT,Wright Air Lines
WRF,Wright Air Service
CWU,Wuhan Airlines
WYC,Wycombe Air Centre
WYG,Wyoming Airlines
SEU,XL Airways France
XPS,XP Internation
XAB,Xabre Aerolineas
XJC,Xclusive Jet Charter Limited
XER,Xerox Corporation
CXA,Xiamen Airlines
CXJ,Xinjiang Airlines
XJT,Xjet Limited
CXP,Xtra Airways
AKY,Yak-Service
YAK,Yakolev
LLM,Yamal Airlines
CYG,Yana Airlines
YZR,Yangtze River Express
ELW,Yellow Wings Air Services
IYE,Yemenia
ERV,Yerevan-Avia
YFS,Young Flying Service
AYU,Yuhi Air Lines
UGN,Yuzhnaya Aircompany
UMK,Yuzhmashavia
RZV,Z-Avia
IZG,Zagros Airlines
ZAI,Zaire Aero Service
ZAR,Zairean Airlines
MBN,Zambian Airways
ZMA,Zambezi Airlines
TAN,Zanair
ZAN,Zantop International Airlines
ZAS,ZAS Airlines of Egypt
AZR,Zenith Air
EMR,Zenmour Airlines
RZR,Zephyr Express
CJG,Zhejiang Airlines
JTU,Zhetysu
KZH,Zhez Air
CFZ,Zhongfei General Aviation
CYN,Zhongyuan Aviation
WZP,Zip
IMX,Zimex Aviation
OOM,Zoom Airlines
ZAW,Zoom Airways
ORZ,Zorex
MLU,Zracno Pristaniste Mali Losinj
TYR,Tyrolean Airways
BUZ,buzz
\N,Maldivian Air Taxi
SXR,Sky Express
\N,Yellow Air Taxi
RAC,Royal Air Cambodge
\N,Air Mandalay
4SW,TEA Switzerland
\N,TAN-SAHSA
ABL,Air Busan
TUB,TUI Airlines Belgium
AKR,Arctic Air
BRA,Braathens
GLP,Globus
KZK,Air Kazakhstan
JAS,Japan Air System
\N,Annsett New Zealand (NZA)
\N,EasyJet (DS)
RTL,Rheintalflug
DAN,Dan-Air London
FOF,Fred. Olsen
\N,Star Peru (2I)
RHA,Robin Hood Aviation
\N,Carnival Air Lines
UBD,United Airways
IEA,Inter European Airways
TMW,Trans Maldivian Airways
FFV,Fly540
TVF,Transavia France
MKU,Island Air (WP)
\N,1-2-go
UIA,Uni Air
\N,Gomelavia
NWS,NordWind Airlines
RWZ,Red Wings
HST,Hellenic Star Airways
BAZ,BAE Systems Flight Training
\N,TUIfly (X3)
FXX,Felix Airways
KOQ,Kostromskie avialinii
GFY,Greenfly
\N,Tajik Air
\N,Air Mozambique
ELK,ELK Airways
GBK,Gabon Airlines
MCA,MCA Airlines
MAV,Maldivo Airlines
VNP,Virgin Pacific
\N,Zest Air
\N,Yangon Airways
\N,Transport Aérien Transrégional
LIO,LÍO Flugmennt
\N,Minerva Airlines
ESR,Eastar Jet
JNA,Jin Air
KW1,Wataniya Airways
\N,Aéris (Priv)
\N,Air Arabia Maroc
BA1,Baltic Air lines
YCC,Ciel Canadien
YCP,Canadian National Airways
4AA,Epic Holiday
AXC,Indochina Airlines
JWW,JetWind
\N,Air Comet Chile
\N,Nazca
FLB,German Air Force - FLB
CIP,City-Air Germany
\N,Voronezhskie Airlanes
LBL,Line Blue
LLC,FlyLAL Charters
BKY,Blue Sky America
TXP,Texas Spirit
ILW,Illinois Airways
\N,Salzburg arrows
TXW,Texas Wings
CWS,California Western
DSY,Dennis Sky
\N,Zz
A1F,Atifly
\N,Air UK
\N,Suckling Airways
\N,Reno Sky
SZB,Aerolineas heredas santa maria
\N,Ciao Air
JRB,Jc royal.britannica
\N,Birmingham European
\N,Pal airlines
CA1,CanXpress
\N,Danube Wings (V5)
SHA,Sharp Airlines
CAP,CanXplorer
\N,Click (Mexicana)
WE1,World Experience Airline
\N,ALAK
\N,AJT Air International
\N,Air Choice One
GCR,Tianjin Airlines
\N,China United
LOC,Locair
\N,Safi Airlines
SQH,SeaPort Airlines
\N,Salmon Air
ILY,Fly Illi
\N,Bobb Air Freight
HCW,Star1 Airlines
\N,Pelita
\N,Alpi Eagles (E8)
\N,Alaska Seaplane Service
\N,TAN
ENJ,Enerjet
MXI,MexicanaLink
ISX,Island Spirit
\N,TACA Peru
OBS,Orbest
SOA,Southern Air Charter
SVG,SVG Air
CEY,Air Century
\N,Pan Am World Airways Dominicana
\N,Primera Air
\N,Air Antilles Express
OLS,Sol Lineas Aereas
REP,Regional Paraguaya
\N,VIP Ecuador
NDN,Transportes Aereos Cielos Andinos
\N,Peruvian Airlines
EFY,EasyFly
\N,Polar Airlines
\N,Catovair
ANU,Andalus Lineas Aereas
DCD,Air 26
MTW,Mauritania Airways
CEL,CEIBA Intercontinental
\N,Halcyonair
\N,Business Aviation
\N,Compagnie Africaine d\\'Aviation
\N,Zambia Skyways
LMU,AlMasria Universal Airlines
MSE,EgyptAir Express
\N,SmartLynx Airlines
EUD,Air Italy Egypt
KBR,KoralBlue Airlines
WRC,Wind Rose Aviation
GIE,Elysian Airlines
SEN,Sevenair
IMP,Hellenic Imperial Airways
AAN,Amsterdam Airlines
NAK,Arik Niger
\N,Dana Air
STP,STP Airways
\N,Med Airways
SJU,Skyjet Airlines
\N,Air Volga
TDK,Transavia Denmark
RFJ,Royal Falcon
MJX,Euroline
WGC,Worldways
TRK,Turkuaz Airlines
\N,Athens Airways
VKH,Viking Hellas
FNA,Norlandair
FVM,Flugfelag Vestmannaeyja
\N,Starline.kz
EHM,Euro Harmony
\N,Lugansk Airlines
\N,Gryphon Airlines
GDR,Gadair European Airlines
MNP,Spirit of Manila Airlines
CQN,Chongqing Airlines
GDC,Grand China Air
CHB,West Air China
\N,Falcon Air (IH)
QAX,QatXpress
1CH,OneChina
\N,NordStar Airlines
JOY,Joy Air
\N,Air India Regional
\N,MDLR Airlines
JGN,Jagson Airlines
\N,Maldivian
\N,Xpressair
\N,Strategic Airlines
QFZ,Fars Air Qeshm
EAA,Eastok Avia
JPU,Jupiter Airlines
VIS,Vision Air International
\N,Al-Naser Airlines
\N,Fuji Dream Airlines
KEA,Korea Express Air
EZA,Eznis Airways
PFL,Pacific Flier
PSB,Syrian Pearl Airlines
\N,SGA Airlines
\N,Air2there
\N,Avianova (Russia)
IPV,Parmiss Airlines (IPV)
EUV,EuropeSky
BZE,BRAZIL AIR
OME,Homer Air
???,Court Line
***,South West Africa Territory Force
---,Lombards Air
--+,U.S. Air
===,Flitestar
\\'\\,Jayrow
:::,Llloyd Helicopters
\N,Wilderness Air
\N,Whitaker Air
PQW,PanAm World Airways
VWA,Virginwings
KSY,KSY
BQB,Buquebus Líneas Aéreas
KOL,SOCHI AIR
WAU,Wizz Air Ukraine
VVN,88
LMM,LCM AIRLINES
BZL,Aero Brazil
\N,Cambodia Angkor Air (K6)
\N,Skyline nepc
T33,THREE
\N,Royal European Airlines
T&O,Tom\\'s & co airliners
AZU,Azul
LOO,LSM Airlines
PZY,Zapolyarie Airlines
FN1,Finlandian
LIX,LionXpress
\N,Nik Airways
\N,Genesis
\N,Congo Express
FDB,Fly Dubai
MDO,Domenican Airlines
2CO,ConneX European Airline
\N,Air Atlantic
\N,Air Ops
AXZ,Aereonautica militare
KLS,Kal Star Aviation
YZZ,LSM AIRLINES 
AEF,Aero Lloyd (YP)
\N,UTair-Express
\N,Huaxia
ZZZ,Zabaykalskii Airlines
XBM,CBM America
1QA,Marysya Airlines
\N,N1
\N,Airlink (SAA)
WFX,Westfalia Express VA
\N,JobAir
ULA,Zuliana de Aviacion
BSA,Black Stallion Airways
GER,German International Air Lines
TBZ,TrasBrasil
THS,TransBrasil Airlines
\N,China SSS
\N,Nihon.jet
IIA,AIR INDOCHINE
\N,Transportes Aéreos Nacionales de Selva
HPY,Happy Air
SRB,Solar Air
MKG,Air Mekong
\N,Harbour Air (Priv)
AHO,Air Hamburg (AHO)
ZTT,ZABAIKAL AIRLINES
THI,TransHolding
SZZ,SUR Lineas Aereas
AA1,Aerolineas Africanas
\N,Yeti Airways
GEG,Georgian Airlines
\N,Yellowstone Club Private Shuttle
\N,Caucasus Airlines
SA1,Serbian Airlines
\N,Windward Islands Airways
TYS,TransHolding System
CCC,CCML Airlines
\N,Air Charter International
ELC,Small Planet Airlines
FBL,Fly Brasil
AUK,AUOS
CIF,CB Airways UK ( Interliging Flights )
3FF,Fly Colombia ( Interliging Flights )
TP6,Trans Pas Air
\N,KMV
HYM,Himalayan Airlines
IG1,Indya Airline Group
\N,Sunwing
TWD,Turkish Wings Domestic
ZXY,Japan Regio
IXO,OCEAN AIR CARGO
\N,Norte Lineas Aereas
\N,Austral Brasil
\N,PEGASUS AIRLINES-
\N,AirLiberté
NX1,Nihon.jet connect
\N,Camair-co
\N,Aerocontinente (Priv)
SKV,Sky Regional
\N,TUR Avrupa Hava YollarÄ±
CRZ,Cruzeiro do Sul Servicos Aereos
UWW,LSM International 
BUU,Baikotovitchestrian Airlines 
LJJ,Luchsh Airlines 
QQQ,ENTERair
\N,Zimbabwean Airlines
\N,Air Cargo Germany
ZTF,Mongolian International Air Lines 
\N,Alaniya Airlines
TWB,Tway Airlines
\N,Papillon Grand Canyon Helicopters
JSR,Jusur airways
NXB,NEXT Brasil
WER,AeroWorld 
\N,Cook Island Air
\N,US Africa Airways
\N,GNB Linhas Aereas
ES2,Usa Sky Cargo
HNX,Hankook Airline
\N,Red Jet America
\N,REDjet
HEY,Hellenic Airways
\N,Red Jet Andes
\N,Red Jet Canada
SRN,Sprintair
\N,Red Jet Mexico
MRS,Marusya Airways
ERR,Era Alaska
RRJ,AirRussia
HA1,Hankook Air US
\N,NEPC Airlines
CNN,Canadian World
PHJ,Pim Air
SMW,Carpatair Flight Training
RSY,I-Fly
\N,T.A.T
CFP,Compania de Aviacion Faucett
KAR,Kar-Air
\N,Alinord
\N,Pacific Express
WTJ,Whitejets
VKJ,VickJet
\N,BVI Airways
HAY,Hamburg Airways
SLC,Salsa d\\'Haiti
\N,Zambezi Airlines (ZMA)
KND,Kan Air
CUD,Air Cudlua
\N,Polet Airlines (Priv)
AXE,Air Explore
TP3,TROPICAL LINHAS AEREAS
N12,12 North
HCC,Holidays Czech Airlines
COE,Comtel Air
MIC,Mint Airways
OBT,Orbit Airlines
BUR,Air Bucharest
LAV,AlbaStar
MAI,Mauritania Airlines International
MKD,MAT Airways
AWM,Asian Wings Airways
RBG,Air Arabia Egypt
EGS,Eagles Airlines
YEP,YES Airways
\N,Alitalia Cityliner
DSV,Direct Aero Services
MDP,Medallion Air
ORC,Orchid Airlines
AWA,Asia Wings
GNN,Georgian International Airlines
BTM,Air Batumi
\N,Skywest Australia
NIA,Nile Air
FDD,Feeder Airlines
SGG,Senegal Airlines
\N,Fly 6ix
\N,Starbow Airlines
CX0,Copenhagen Express
BCC,BusinessAir
\N,SENIC AIRLINES
CYM,Compass Airlines (Australia)
XOJ,XOJET
DXT,Dexter (DXT)
CR7,Sky Wing Pacific
BEU,Bateleur Air
AI0,Air Indus
770,Samurai Airlines
000,AirOne Continental
001,AirOne Polska
OAI,Orbit International Airlines
OAR,Orbit Regional Airlines
OAN,Orbit Atlantic Airways
VOO,Volotea
GOE,Go Fly (United Kingdom)
\N,Peach Aviation
HTH,Helitt Líneas Aéreas
RSD,Russia State Transport
MWI,Malaysia Wings
ABI,Aviabus
MJG,Michael Airlines
KGO,Korongo Airlines
IDS,Indonesia Sky
\N,Pelangi 
666,Aws express
SJS,Southjet
ZCS,Southjet connect
\N,Air Cape
XAN,Southjet cargo
IBS,Iberia Express
\N,Interjet (ABC Aerolineas)
\N,AirOnix
NGB,Nordic Global Airlines
SCO,Scoot
STS,Starling Airlines Spain
\N,Hi Fly (5K)
\N,China Northwest Airlines (WH)
ZNA,Zenith International Airline
OAB,Orbit Airlines Azerbaijan
RQX,Air Engiadina-BRN
FVG,VG Airlines (IV)
\N,Air Alps Aviation (A6)
AAT,Austrian Airtransport
FKA,Flying kangaroo Airline
RSJ,RusJet
VJC,VietJet Air
BXS,Spantax S.A.
\N,Patriot Airways
RBY,Vision Airlines (V2)
\N,Chicago Express (C8)
\N,BQB Lineas Aereas
WAJ,AirAsia Japan
YEL,Yellowtail
RAW,Royal Airways
FHI,FlyHigh Airlines Ireland (FH)
XSR,Executive AirShare
HBH,Hebei Airlines
KBZ,Air KBZ
\N,Aero VIP (2D)
\N,Yangon Airways Ltd.
TJA,T.J. Air
\N,SkyWork Airlines 
VJA,ValueJet
\N,Maastricht Airlines
FQR,CheapFlyingInternational
\N,Aviaexpresscruise
\N,Euro Jet
UAT,Ukraine Atlantic
AO1,AirOne Atlantic
\N,HQ- Business Express
NMA,Nesma Airlines
EHN,East Horizon
RS1,Royal Southern Airlines.
MJP,Air Majoro
UKZ,Fly Zoom
RJD,Rotana Jet
QER,SOCHI AIR CHATER
\N,Denim Air 
\N,WestAir
\N,WestAir Airlines
\N,WestAir Airlines 
\N,North Pacific Airlines
MXD,Malindo Air
TLM,Tramm Airlines
\N,Lina Congo
HRM,Hermes Airlines
\N,Flightlink Tanzania
\N,IzAvia
КТК,Катэкавиа
PKV,Псковавиа
VA3,3 Valleys Airlines
M1F,Maryland Air
\N,Insel Air (7I/INC) (Priv)
VVC,VivaColombia
FCM,Flybe Finland Oy
BGY,Bingo Airways
BBG,Bluebird Airways (BZ)
IWA,Apache Air
TAQ,Taunus Air Gmbh
\N,MHS Aviation GmbH
JTO,Jettor Airlines
EDI,Eastern Atlantic Charters
GOD,GoDutch
VQI,Flyme (VP)
\N,Thai Lion Air
DLT,Deutsche Luftverkehrsgesellschaft
NFD,Nürnberger Flugdienst
GMR,Golden Myanmar Airlines
VZA,ViznAir
CNF,Canaryfly
KSZ,Sunrise Airways
NCR,National Air Cargo
EAV,Eastern Atlantic Virtual Airlines
\N,Citilink Indonesia
GU1,Gulisano airways
TTZ,Transair
EVC,Comfort Express Virtual Charters Albany
CEO,Comfort Express Virtual Charters
ZYZ,Caribbean Wings
FYJ,FLYJET
SBD,Snowbird Airlines
KRY,Russkie Krylya
KHK,Kharkiv Airlines
KWY,Key Air
XAU,XAIR USA
\N,Air Costa
RMK,Simrik Airlines
GF5,Global Freightways
XPT,XPTO
DME,Royal Flight
EGH,BBN-Airways
TKS,Tomsk-Avia
VPP,Vintage Props and Jets
\N,Malawian Airlines
NYT,Yeti Airlines 
...,Avilu
ASL,Air Serbia
KCU,Skyline Ulasim Ticaret A.S.
LTU,Air Lituanica
ENY,Envoy Air
CCB,CARICOM AIRWAYS (BARBADOS) INC.
RAB,Rainbow Air (RAI)
RAY,Rainbow Air Canada
RPO,Rainbow Air Polynesia
RUE,Rainbow Air Euro
RNY,Rainbow Air US
TNS,Transilvania
DOB,Dobrolet
SAL,Spike Airlines
GCA,Grand Cru Airlines
RLX,Go2Sky
AL1,All Argentina
AL2,All America
AL3,All Asia
99F,All Africa
J88,Regionalia México
N99,All Europe
N77,All Spain
N78,Regional Air Iceland
??!,British Air Ferries
K88,Voestar
7KK,All Colombia
2K2,Regionalia Uruguay
9XX,Regionalia Venezuela
CR1,Regionalia Chile
6CC,Vuela Cuba
8K8,All Australia
RWW,Fly Europa
FPT,FlyPortugal
FTI,FTI Fluggesellschaft
SJO,Spring Airlines Japan
DWA,Dense Airways
DC2,Dense Connection
VI4,Vuola Italia
RSP,Jet Suite
FJM,Fly Jamaica Airways
\N,Island Express Air
Z9H,All Argentina Express
\N,Thai Smile Airways
\N,International AirLink
\N,Real Tonga
M7A,All America AR
R1R,All America CL
SAE,SOCHI AIR EXPRESS
A9B,All America BR
X9F,FRA Air
\N,Royal
\N,GREAT LAKES (GX)
VC9,Volotea Costa Rica
OTJ,Fly Romania
\N,Eagle Atlantic Airlines
FZW,Fly Africa Zimbabwe
SDI,San Dima Air
7ZC,All America CO
0MM,All America MX
FOX,FOX Linhas Aereas
"..,",Wings of England
\N,Air Kenya (Priv)
CZV,Via Conectia Airlines
HBR,Hebradran Air Services
PBD,Pobeda
GTA,City Airways
NLH,Norwegian Long Haul AS
710,BA101
TNU,TransNusa Air
T9P,Tomp Airlines
FZA,Fuzhou Airlines
SWM,Sky Angkor Airlines (ZA)
\N,OneJet
GA0,Global Airlines
MYP,Mann Yadanarpon Airlines
\N,International Flying Service
VTI,Air Vistara
RGG,TransRussiaAirlines
\N,Severstal Air Company
RXR,REXAIR VIRTUEL
WEN,WestJet Encore
PPL,Air Pegasus
INE,International Europe
SKV,Sky Regional Airlines
VAX,V Air
CLJ,Cello Aviation
ALS,Naka Nihon Airlines Service
PYA,Pouya Air
\N,Islands Express
\N,Atlantic Air Services
BTQ,Boutique Air (Priv)
FEG,FlyEgypt
VOE,VOLOTEA Airways
GUI,Aguilar Connect
ROB,ROYAL BRITAIN
IIR,INAVIA Internacional
LTY,Liberty Airways
\N,Аэросервис
IAM,Aeronautica Militare
BSX,Bassaka airlines
JJP,Jetstar Japan 
\N,SkyBahamas Airlines
\N,UVT Aero
DAK,First Flying
\N,Silver Airways (3M)
UJX,AtlasGlobal Ukraine
BOV,Boliviana de Aviacion (OB)
UBG,US-Bangla Airlines
IBK,Norwegian Air International (D8)
\N,ATA Airlines (Iran)
VIA,VIA Líneas Aéreas
PMK,Palair Macedonia
\N,Palair Macedonia (3D)
GXG,GermanXL
KYA,Alghanim
IDX,Indonesa Air Aisa X
FRF,Fly France
ENZ,Jota Aviation
EU9,Europe Jet
FCB,COBALT
LTD,Southern Airways Express
DWD,Deutsche Luftverkehrsgesellschaft (DLT)
ORG,Orenburzhie
\N,Atlantic Air Cargo
WSS,World Scale Airlines
SSA,All America US
UAY,University of Birmingham Air Squadron (RAF)
CSX,Choice Airways
ARU,Aruba Airlines
BG1,BudgetAir
DYA,Dynamic Airways
FI5,Fly One
\N,Nordica
TEZ,Tez Jet Airlines
KUH,Kush Air
\N,Dummy
SRY,ViaAir
PYB,All America BOPY
TVJ,Thai Vietjet Air
AOW,Air Andaman (2Y)
TDA,TDA Toa Domestic Airlines
CBG,GX Airlines
SSX,Lynx Aviation (L3/SSX)
\N,Jetgo Australia
\N,Air Carnival
SJM,Svyaz Rossiya
